Team,UEFA Coefficient,Expenditures (€) in Millions,Income (€) in Millions,Balance
Manchester City,123,726.9,445.77,281.13
Real Madrid,119,240.5,285.35,-44.85
Bayern Munich,108,457.5,320.32,137.18
Liverpool,96,493.6,188.15,305.45
Roma,90,236.5,230.31,6.19
Paris Saint-Germain,85,754.5,280.7,473.8
Villareal,82,111.32,180.49,-69.17
Borussia Dortmund,79,273.3,310.35,-37.05
Chelsea,79,1460,557.2,902.8
Inter Milan,76,309.98,443.17,-133.19
Bayer Leverkusen,72,€ 199.65,213.74,-14.09
Porto,70,186.23,346.45,-160.22
RB Leipzig,70,436.62,436.62,0
Manchester United,70,671.53,132.59,538.94
Benfica,69,393.05,609.34,-216.29
West Ham United,69,470.36,241.66,228.7
Atlético Madrid,67,261.7,237.4,24.3
Barcelona,67,382.84,388.1,-5.26
Arsenal,62,674.9,445.77,229.13
Atalanta,61,312.8,418.25,-105.45
Napoli,61,308.85,314.35,-5.5
AC Milan,59,309.67,139.36,170.31
Juventus,58,522.66,352.67,169.99
Sevilla,58,178.25,166.28,11.97
Club Brugge,56,163.73,234.97,-71.24
Ajax Amsterdam,54,305.5,560.02,-254.52
Feyenoord Rotterdam,53,101.12,157.31,-56.19
Rangers,52,62.45,63.54,-1.09
Real Sociedad,51,87.9,126.55,-38.65
Eintracht Frankfurt,51,140.1,215.74,-75.64
Lazio,50,137.05,107.9,29.15
PSV Eindhoven,48,305.5,560.02,-254.52
Olympique Marseille,48,295.69,151.33,144.36
Slavia Praha,47,0.24,,0.24
Sporting CP,44.5,234.22,368.83,-134.61
Fiorentina,42,210.26,287.1,-76.84
LOSC Lille,42,131.95,335.6,-203.65
GNK Dinamo,42,37.87,131.53,-93.66
AZ Alkmaar,42,46.22,43.6,2.62
Shakhtar Donetsk,41,111.35,145.23,-33.88
RB Salzburg,40,127.05,334.37,-207.32
Stade Rennais,40,320.46,346.82,-26.36
Braga,39,60.5,198.54,-138.04
Olympiacos,38,66.42,69.21,-2.79
Tottenham,38,658.4,207.37,451.03
Copenhagen,37.5,67.64,112.33,-44.69
Fenerbahçe,36,189.44,150.09,39.35
Gent,35,92.67,198.4,-105.73
PAOK,34.5,27.26,66.78,-39.52
Red Star Belgrade,34,42.09,63.65,-21.56
